berry.x,berry.y,berry.z,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
0.74,3.69,0.41,-79.1052631578947,-70.5526315789474,-74.0592105263158,-74.7086092715232,-76.8157894736842,-76.2828947368421,-62.2565789473684,-69.3355263157895
1.065,3.69,0.41,-72.1578947368421,-68.5695364238411,-71.125,-62.7763157894737,-74.7368421052632,-69.7565789473684,-68.9736842105263,-65.1513157894737
1.39,3.69,0.41,-66.523178807947,-65.7565789473684,-75.875,-68.4276315789474,-72.7236842105263,-72.2302631578947,-66.4078947368421,-64.9276315789474
1.715,3.69,0.41,-64.3355263157895,-70.2960526315789,-77.1644736842105,-70.5131578947368,-67.7105263157895,-63.7434210526316,-66.1721854304636,-64.2763157894737
2.04,3.69,0.41,-67.1447368421053,-69.4736842105263,-72.8092105263158,-81.5394736842105,-71.8947368421053,-63.7302631578947,-62.8947368421053,-71.4503311258278
2.365,3.69,0.41,-61.5723684210526,-78.0789473684211,-76.8026315789474,-67.8684210526316,-79.6447368421053,-64.2434210526316,-65.1324503311258,-74.9078947368421
2.69,3.69,0.41,-72.0132450331126,-67.1184210526316,-74.5789473684211,-72.1513157894737,-71.5855263157895,-74.9407894736842,-68.0723684210526,-70.6513157894737
3.015,3.69,0.41,-71.3355263157895,-75.0993377483444,-77.0066225165563,-67.3092105263158,-73.0197368421053,-69.3092105263158,-66.5657894736842,-73.4736842105263
3.34,3.69,0.41,-70.7763157894737,-79.5394736842105,-70.9407894736842,-74.3112582781457,-80.1776315789474,-80.9144736842105,-68.3421052631579,-80.0855263157895
3.665,3.69,0.41,-68.3815789473684,-74.1381578947368,-73.3245033112583,-72.5263157894737,-74.9342105263158,-68.2960526315789,-65.9671052631579,-74.3815789473684
3.665,3.29,0.41,-69.5986842105263,-79.2368421052632,-68.2368421052632,-73.0198675496689,-74.7894736842105,-65.6973684210526,-69.5986842105263,-81.9671052631579
3.34,3.29,0.41,-73.5592105263158,-76.7880794701987,-69.7171052631579,-67.0065789473684,-72.5,-70.875,-65.6513157894737,-81.6776315789474
3.015,3.29,0.41,-65.1381578947368,-80.2582781456954,-65.6052631578947,-64.6907894736842,-71.4605263157895,-63.9078947368421,-59.6052631578947,-76.4407894736842
2.69,3.29,0.41,-71.3026315789474,-77.7152317880795,-64.6973684210526,-66.7565789473684,-68.6907894736842,-69.7763157894737,-61.0394736842105,-74.1052631578947
2.365,3.29,0.41,-63.8026315789474,-75.6578947368421,-74.1381578947368,-66.0855263157895,-65.5197368421053,-61.9342105263158,-68.0596026490066,-72.4868421052632
2.04,3.29,0.41,-67.9144736842105,-74.8157894736842,-69.9736842105263,-67.3421052631579,-77.7434210526316,-71.9933774834437,-62.4539473684211,-68.4078947368421
1.715,3.29,0.41,-73.4473684210526,-65.9407894736842,-70.6842105263158,-67.9539473684211,-76.0263157894737,-64.7105263157895,-68.6513157894737,-65.3973509933775
1.39,3.29,0.41,-62.4868421052632,-69.7960526315789,-80.3881578947368,-65.9013157894737,-78.0460526315789,-72.0460526315789,-66.1655629139073,-66.7039473684211
1.065,3.29,0.41,-71.6381578947368,-62.4473684210526,-68.5723684210526,-67.3552631578947,-75.6447368421053,-77.0662251655629,-70.9078947368421,-70.5197368421053
0.74,3.29,0.41,-74,-65.2828947368421,-73.5460526315789,-74.1644736842105,-75.3618421052632,-69.3486842105263,-77.5695364238411,-64.0723684210526
0.74,2.89,0.41,-63.1907894736842,-77.6644736842105,-73.0394736842105,-67.1184210526316,-73.3377483443709,-61.8881578947368,-77.9013157894737,-68.9144736842105
1.065,2.89,0.41,-58.1776315789474,-66.9671052631579,-73.9868421052632,-70.0986842105263,-77.6688741721854,-72.5394736842105,-67.8486842105263,-69.9934210526316
1.39,2.89,0.41,-71.1523178807947,-63.9802631578947,-67.7960526315789,-62.317880794702,-69.2894736842105,-65.4342105263158,-70.5263157894737,-68.5460526315789
1.715,2.89,0.41,-64.0789473684211,-70.7631578947368,-78.6754966887417,-70.0263157894737,-73.9934210526316,-62.6644736842105,-73.0065789473684,-64.9473684210526
2.04,2.89,0.41,-68.5526315789474,-70.8421052631579,-67.9276315789474,-66.7549668874172,-64.5460526315789,-66.8092105263158,-74.5657894736842,-70.6381578947368
0.74,2.49,0.41,-61.1907894736842,-69.375,-72.3092105263158,-70.7039473684211,-71.375,-72.1973684210526,-73.3289473684211,-72.7019867549669
1.065,2.49,0.41,-66.3684210526316,-67.9473684210526,-70.7697368421053,-69.0855263157895,-75.8684210526316,-75.4569536423841,-73.125,-66.5
1.39,2.49,0.41,-66.1184210526316,-69.5921052631579,-75.9671052631579,-60.8552631578947,-74.9801324503311,-62.9605263157895,-67.7039473684211,-71.0723684210526
1.715,2.49,0.41,-78.4013157894737,-81.364238410596,-77.5263157894737,-65.4342105263158,-68.6184210526316,-60.3026315789474,-68.2565789473684,-69.0263157894737
2.04,2.49,0.41,-73.2171052631579,-76.5986842105263,-70.0328947368421,-72.0328947368421,-71.2631578947368,-74.0592105263158,-69.9473684210526,-67.841059602649
2.04,2.09,0.41,-64.8486842105263,-72.4304635761589,-76,-66.3289473684211,-68.6447368421053,-60.7763157894737,-65.75,-69.9868421052632
1.715,2.09,0.41,-66.3421052631579,-71.4569536423841,-65.2302631578947,-64.4078947368421,-70.7960526315789,-71.1513157894737,-71.6447368421053,-66.5657894736842
1.39,2.09,0.41,-56.4078947368421,-70.7236842105263,-69.8157894736842,-61.125,-69.6644736842105,-62.1324503311258,-75.7039473684211,-69.3289473684211
1.065,2.09,0.41,-62.1710526315789,-65.4701986754967,-74.7368421052632,-65.6315789473684,-76.5263157894737,-67.4539473684211,-74.2828947368421,-63.5921052631579
0.74,2.09,0.41,-66.3881578947368,-72.0986842105263,-77.4105960264901,-73.2236842105263,-70.3157894736842,-64.0592105263158,-68.0526315789474,-65.7565789473684
0.74,1.69,0.41,-66.1315789473684,-75.4934210526316,-72.3421052631579,-72.4276315789474,-68.9802631578947,-71.5921052631579,-73.841059602649,-74.3355263157895
1.065,1.69,0.41,-65.3223684210526,-73.75,-74.682119205298,-67.8552631578947,-77.2894736842105,-71.4276315789474,-75.4342105263158,-64.6973684210526
1.39,1.69,0.41,-65.9539473684211,-69.1184210526316,-73.6381578947368,-66.3355263157895,-69.1842105263158,-70.887417218543,-69.0263157894737,-64.7171052631579
1.715,1.69,0.41,-69.3881578947368,-69.1776315789474,-75.728476821192,-67.1052631578947,-66.375,-76.6644736842105,-72.1842105263158,-59.0855263157895
2.04,1.69,0.41,-71.5789473684211,-75.5065789473684,-69.9735099337748,-64.1118421052632,-77.1315789473684,-71.3223684210526,-76.1776315789474,-68.6644736842105
2.365,1.69,0.41,-65.6842105263158,-72.1578947368421,-67.2039473684211,-67.1578947368421,-62.8355263157895,-61.2185430463576,-72.6776315789474,-76.2302631578947
2.69,1.69,0.41,-66.4276315789474,-71.1381578947368,-68.2828947368421,-75.3046357615894,-63.4736842105263,-61.3355263157895,-69.3092105263158,-64.5328947368421
3.015,1.69,0.41,-64.4078947368421,-70.1184210526316,-74.6710526315789,-75.3486842105263,-71.6447368421053,-70.4437086092715,-66.2302631578947,-65.3815789473684
3.015,1.29,0.41,-62.7039473684211,-69.0131578947368,-76.8157894736842,-70.7039473684211,-62.9539473684211,-73.1854304635762,-65.5723684210526,-57.5131578947368
2.69,1.29,0.41,-68.7828947368421,-71.2302631578947,-78.9473684210526,-69.4172185430464,-67.3947368421053,-69.5657894736842,-69.4407894736842,-62.8684210526316
2.365,1.29,0.41,-62.4144736842105,-72.375,-73.2565789473684,-63.2913907284768,-63.0263157894737,-61.3486842105263,-78.2763157894737,-69.0789473684211
2.04,1.29,0.41,-63.8157894736842,-73.5065789473684,-70.0927152317881,-62.3552631578947,-62.2302631578947,-71.7960526315789,-67.1447368421053,-59.5131578947368
2.04,0.89,0.41,-74.9802631578947,-67.3486842105263,-72.9473684210526,-63.0331125827815,-74.1578947368421,-72.625,-77.7302631578947,-59.0592105263158
2.365,0.89,0.41,-71.0394736842105,-72.8618421052632,-76.4078947368421,-72.25,-73.2697368421053,-70.5592105263158,-75.3708609271523,-59.9144736842105
2.69,0.89,0.41,-60.7565789473684,-73.8476821192053,-72.625,-73.3684210526316,-72.2960526315789,-76.7302631578947,-70.3092105263158,-53.2565789473684
3.015,0.89,0.41,-63.8940397350993,-74.8223684210526,-72.8684210526316,-78.5789473684211,-73.8486842105263,-64.5855263157895,-66.2302631578947,-65.0197368421053
0.74,3.69,1.09,-70.4605263157895,-62.4210526315789,-82.1973684210526,-70.6710526315789,-69.794701986755,-71.4013157894737,-66.5986842105263,-68.9144736842105
1.065,3.69,1.09,-64.2565789473684,-66.4210526315789,-73.1513157894737,-72,-70.625,-73.3618421052632,-68.4671052631579,-73.7350993377483
1.39,3.69,1.09,-63.9473684210526,-64.7105263157895,-66.5761589403973,-65.8486842105263,-72.4671052631579,-72.0526315789474,-69.0921052631579,-64.25
1.715,3.69,1.09,-70.205298013245,-65.8157894736842,-74.0921052631579,-70.7894736842105,-78.2565789473684,-75.9933774834437,-66.5592105263158,-65.5986842105263
2.04,3.68,1.09,-75.6644736842105,-69.2631578947368,-61.2582781456954,-65.7828947368421,-74.6315789473684,-74.1842105263158,-62.5328947368421,-63.2105263157895
2.365,3.69,1.09,-62.0328947368421,-77.0131578947368,-59.1513157894737,-68,-76.3486842105263,-77.7763157894737,-63.0394736842105,-66.7483443708609
2.69,3.69,1.09,-63.7565789473684,-74.1578947368421,-58.4144736842105,-69.8355263157895,-69.2582781456954,-74.4934210526316,-61.7631578947368,-74.5394736842105
3.015,3.69,1.09,-73.9802631578947,-78.4144736842105,-65.0723684210526,-71.1315789473684,-80.1842105263158,-75.8476821192053,-70.9934210526316,-81.3289473684211
3.34,3.69,1.09,-78.2368421052632,-74.0921052631579,-70.0592105263158,-70.3092105263158,-82.2763157894737,-79.0065789473684,-66.5723684210526,-75.4701986754967
3.665,3.69,1.09,-78.0921052631579,-86.5065789473684,-72.0131578947368,-78.2565789473684,-83.2450331125828,-76.1644736842105,-64.4539473684211,-79.1644736842105
3.665,3.29,1.09,-82.0131578947368,-75,-69.375,-85.6513157894737,-86.0662251655629,-76.9276315789474,-70.1710526315789,-72.9671052631579
